id,name
1,Hisashi Suzuki
10,David Brady
100,Santosh S. Venkatesh
1000,Charles Fefferman
1001,Scott Markel
1002,Gregory J. Wolff
1003,Timothy W. Cacciatore
1004,Paul Sajda
1005,Leif H. Finkel
1006,Arun K. Jagota
1007,Asriel U. Levin
1008,Richard Coggins
1009,Mitchell Gil Maltenfort
101,Fernando J. Pineda
1010,Robert E. Druzinsky
1011,C. J. Heckman
1012,W. Zev Rymer
1014,Catherine Stevens
1015,Jacob Engelbrecht
1016,Mark Plutowski
1017,Shinichi Sakata
1018,Halbert White
1019,Tommi Jaakkola
102,James C. Houk
1020,Zoubin Ghahramani
1021,Eric Boussard
1022,Jean-Fran?ois Vibert
1023,Justin A. Boyan
1025,Reinhard Blasig
1026,Anthony C. C. Coolen
1027,R. W. Penney
1028,D. Sherrington
1029,Brooks Bishofberger
103,Andreas Stafylopatis
1030,Michael S. Lewicki
1031,Eric Cosatto
1032,Richard H. Lathrop
1033,Tom?s Lozano-P?rez
1034,Peter F. Rowat
1035,Reza Shadmehr
1036,Ferdinando A. Mussa-Ivaldi
1037,Stefan Schaal
1038,Daniel J. Rosen
1039,Eric I. Knudsen
104,Marios D. Dikaiakos
1040,Audrey L. Guzik
1041,Robert C. Eaton
1042,Nicholas S. Flann
1044,Robert M. French
1045,Laurens R. Leerink
1046,Corinna Cortes
1047,Xin Wang
1048,Qingnan Li
1049,Edward K. Blum
105,D. Kontoravdis
1050,Ralph Neuneier
1051,Stelios M. Smirnakis
1052,Steven S. Watkins
1053,Paul M. Chau
1054,Raoul Tawel
1055,Bjorn Lambrigtsen
1056,Thomas R. Shultz
1057,Jeffrey L. Elman
1058,Thomas H. Hildebrandt
1059,Christoph Bregler
106,Jehoshua Bruck
1060,Ali H. Sayed
1061,Changfeng Wang
1063,Vladimir Cherkassky
1064,Olvi L. Mangasarian
1066,Bill G. Horne
1067,Don R. Hush
1068,Richard T. J. Bostock
1069,Alan J. Harget
107,Joseph W. Goodman
1070,Iris Ginzburg
1071,Nanda Kambhatla
1072,Richard O. Duda
1073,Joachim Diederich
1074,Bruno A. Olshausen
1075,Yasuhiro Wada
1076,Melanie Mitchell
1077,John H. Holland
1078,Stephanie Forrest
1079,Steven Gold
108,William Baxter
1080,Anand Rangarajan
1081,Oded Maron
1082,K? Sakai
1083,Roderic A. Grupen
1085,Kenneth M. Buckland
1086,Peter D. Lawrence
1087,Mike Hochberg
1088,Anthony J. Robinson
1089,Thea B. Ghiselli-Crippa
109,Bruce Dow
1090,Yehuda Salu
1091,Haim Sompolinsky
1094,Ralph Wolf
1095,Arlindo L. Oliveira
1096,K. Venkatesh Prasad
1098,Alessandro Sperduti
1099,Kevin R. Farrell
11,Demetri Psaltis
110,Mark Derthick
1100,Richard J. Mammone
1101,Jonathan L. Shapiro
1102,Adam Pr?gel-Bennett
1103,Shumeet Baluja
1104,Michael Murray
1105,Ming-Tak Leung
1106,Kan Boonyanit
1107,Kong Kritayakirana
1108,James B. Burg
1109,Tokahiro Watanabe
111,Joe Tebelskis
1112,Michael O. Duff
1113,Chien-Ping Lu
1114,G. T. Buracas
1115,T. D. Albright
1116,Lynne Kiorpes
1117,Gary G. Blasdel
1118,Didier Keymeulen
1119,Martine de Gerlache
112,Guo-Zheng Sun
1120,Gary William Flake
1122,Charles A. Micchelli
1123,Martin Lades
1124,Saeed Hadjifaradji
1125,Yuriko Oshima-Takane
1126,Yoshio Takane
1128,David Price
1129,Stefan Knerr
113,Yee-Chun Lee
1130,Ki-Chul Kim
1131,Hwang-Soo Lee
1132,Anton Schwartz
1133,James J. Knierim
1134,Hemant S. Kudrimoti
1135,Svilen Tzonev
1136,Joseph G. Malpeli
1137,Sidney Fels
1138,David A. Nix
1139,Stefan Heil
114,Hsing-Hen Chen
1140,Humbert Suarez
1141,Sepp Hochreiter
1142,Kah Kay Sung
1143,Partha Niyogi
1144,Gustavo Deco
1145,Wilfried Brauer
1146,James A. Reggia
1147,Bradley A. Minch
1148,Paul E. Hasler
1149,Chris Diorio
115,Richard M. Golden
1150,Stefan Manke
1151,Michael Finke
1152,Daniel M. Wolpert
1153,Satoshi Suzuki
1154,Hiroshi Ando
1155,Herman L. Ferr?
1158,Jay A. Alexander
1159,Robert H. Crites
116,W. Scott Stornetta
1160,Leon N. Cooper
1161,Horst Bischof
1162,Kurt Hornik
1163,Rajesh P. N. Rao
1164,Cedric Deffayet
1165,Jason J. Sroka
1166,Sayandev Mukherjee
1167,Andrew McCallum
1168,Rainer Malaka
1169,Thomas Ragg
117,Tad Hogg
1170,Martin Hammer
1171,Christopher M. Bishop
1172,Claire Legleye
1173,Trevor Hastie
1174,Naonori Ueda
1175,Ryohei Nakano
1176,Fu-Sheng Tsung
1177,DeLiang L. Wang
1178,David Terman
1179,Michael R. Berthold
118,Bernardo A. Huberman
1180,Jay Diamond
1181,Usama M. Fayyad
1182,Michael C. Burl
1183,Pietro Perona
1184,Glenn Marion
1185,David Saad
1186,Kalanit Grill Spector
1187,Rafael Malach
1188,Joshua B. Tenenbaum
1189,Emanuel Todorov
119,Seho Oh
1190,Linda Kukolich
1191,David Shahian
1192,James Edward Steck
1193,Steven R. Skinner
1194,Alvaro A. Cruz-Cabrara
1195,Elizabeth C. Behrman
1196,Rich Caruana
1197,Steve R. Waterhouse
1198,Holger Schwenk
1199,Maurice Milgram
12,Frank H. Eeckman
120,James A. Ritcey
1200,Peter Sollich
1201,Lawrence K. Saul
