id,paper_id,author_id
1,63,94
2,80,124
3,80,125
4,80,126
5,80,127
6,9,13
7,20,33
8,20,34
9,20,35
10,66,99
11,66,100
12,3,252
13,3,7094
14,71,108
15,71,109
16,83,131
17,82,130
18,24,40
19,24,13
20,40,40
21,40,68
22,40,69
23,34,40
24,34,58
25,89,137
26,70,106
27,70,107
28,88,98
29,84,132
30,55,86
31,55,87
32,48,357
33,48,7078
34,2,3
35,31,55
36,22,36
37,22,37
38,73,322
39,73,7079
40,16,18
41,16,25
42,72,110
43,72,111
44,87,133
45,87,134
46,87,135
47,87,136
48,8,12
49,47,78
50,47,79
51,28,50
52,15,24
53,60,92
54,62,93
55,13,20
56,14,21
57,14,22
58,14,23
59,75,115
60,44,7081
61,44,7082
62,44,7083
63,44,7084
64,53,7097
65,65,97
66,65,98
67,78,121
68,78,122
69,68,102
70,7,9
71,7,10
72,7,11
73,26,45
74,26,46
75,45,74
76,45,75
77,45,76
78,61,7080
79,39,67
80,25,41
81,25,42
82,25,43
83,25,44
84,46,77
85,59,90
86,59,91
87,38,65
88,38,66
89,86,7088
90,86,7093
91,86,7090
92,86,7091
93,86,7092
94,19,32
95,5,6
96,51,7087
97,49,80
98,11,15
99,11,16
100,11,17
101,11,18
102,29,51
103,29,52
104,77,35
105,77,33
106,77,119
107,77,120
108,92,308
109,36,60
110,36,61
111,36,62
112,18,28
113,18,29
114,18,30
115,18,31
116,27,47
117,27,48
118,27,49
119,90,138
120,64,95
121,64,96
122,67,101
123,4,4
124,4,5
125,17,7100
126,17,27
127,42,72
128,42,7102
129,33,486
130,33,487
131,33,56
132,91,139
133,91,140
134,50,81
135,50,82
136,50,83
137,21,14
138,21,7085
139,21,7086
140,21,1160
141,10,14
142,52,7095
143,52,7096
144,56,88
145,37,63
146,37,64
147,23,38
148,23,39
149,58,89
150,69,103
151,69,104
152,69,105
153,76,116
154,76,117
155,76,118
156,74,112
157,74,113
158,74,114
159,1,1
160,1,2
161,6,7
162,6,8
163,12,19
164,30,53
165,30,54
166,35,59
167,41,70
168,41,71
169,32,56
170,32,57
171,81,128
172,81,129
173,79,123
174,85,25
175,85,18
176,54,84
177,54,85
178,106,144
179,106,164
180,106,165
181,139,231
182,140,232
183,175,792
184,134,222
185,134,7103
186,162,264
187,149,19
188,149,245
189,123,99
190,118,188
191,118,189
192,118,190
193,154,252
194,154,253
195,127,7104
196,127,211
197,127,212
198,127,213
199,127,214
200,127,7105
201,142,53
202,119,191
203,119,89
204,180,301
205,180,302
206,148,46
207,148,244
208,101,156
209,101,157
210,122,7106
211,122,201
212,122,121
213,181,2821
214,181,304
215,181,305
216,129,217
217,129,53
218,184,1054
219,156,97
220,156,256
221,102,6
222,94,143
223,94,7107
224,94,145
225,109,175
226,109,7108
227,185,309
228,113,178
229,113,179
230,113,180
231,113,181
232,141,233
233,141,234
234,143,235
235,135,224
236,135,225
237,135,226
238,150,246
239,150,247
240,150,248
241,161,262
242,161,263
243,186,310
244,186,7110
245,186,7109
246,186,313
247,146,240
248,146,241
